"id","on_date","from_currency","to_currency","rate"
"null","2017-04-02","EUR","RON","4.552500"
"null","2017-04-02","EUR","MYR","4.731300"
"null","2017-04-02","EUR","SEK","9.532200"
"null","2017-04-02","EUR","SGD","1.494000"
"null","2017-04-02","EUR","HKD","8.307400"
"null","2017-04-02","EUR","AUD","1.398200"
"null","2017-04-02","EUR","CHF","1.069600"
"null","2017-04-02","EUR","KRW","1194.500000"
"null","2017-04-02","EUR","CNY","7.364200"
"null","2017-04-02","EUR","TRY","3.889400"
"null","2017-04-02","EUR","HRK","7.446500"
"null","2017-04-02","EUR","NZD","1.530900"
"null","2017-04-02","EUR","THB","36.724000"
"null","2017-04-02","EUR","NOK","9.168300"
"null","2017-04-02","EUR","RUB","60.313000"
"null","2017-04-02","EUR","INR","69.396000"
"null","2017-04-02","EUR","MXN","20.018000"
"null","2017-04-02","EUR","CZK","27.030000"
"null","2017-04-02","EUR","BRL","3.380000"
"null","2017-04-02","EUR","PLN","4.226500"
"null","2017-04-02","EUR","PHP","53.658000"
"null","2017-04-02","EUR","ZAR","14.240000"
"id","on_date","from_currency","to_currency","rate"
"null","2017-04-03","EUR","USD","1.069100"
"null","2017-04-03","EUR","IDR","14238.000000"
"null","2017-04-03","EUR","BGN","1.955800"
"null","2017-04-03","EUR","ILS","3.885300"
"null","2017-04-03","EUR","GBP","0.855530"
